songId,title,artist,bpm,category,imageName,isNew,isLocked,searchAcronyms,sheetType,difficulty,level,internalLevelValue,noteDesigner,noteTap,noteHold,noteSlide,noteTouch,noteBreak,noteTotal,regionJp,regionIntl,regionUsa,regionCn,isSpecial,version,internalId,releaseDate
84,Catch The Future,「BORDER BREAK UNION」メインテーマ,210,其他游戏,,false,,,std,basic,6,6,-,125,9,3,,4,141,,,,,,maimai,84,
84,Catch The Future,「BORDER BREAK UNION」メインテーマ,210,其他游戏,,false,,,std,advanced,8+,8.7,-,216,20,5,,2,243,,,,,,maimai,84,
84,Catch The Future,「BORDER BREAK UNION」メインテーマ,210,其他游戏,,false,,,std,expert,10+,10.8,ニャイン,216,27,34,,10,287,,,,,,maimai,84,
84,Catch The Future,「BORDER BREAK UNION」メインテーマ,210,其他游戏,,false,,,std,master,12+,12.8,譜面-100号,295,28,66,,2,391,,,,,,maimai,84,
85,JACKY [Remix],「バーチャファイター」,135,其他游戏,,false,,,std,basic,4,4,-,107,5,3,,4,119,,,,,,maimai,85,
85,JACKY [Remix],「バーチャファイター」,135,其他游戏,,false,,,std,advanced,7,7.5,-,137,12,12,,9,170,,,,,,maimai,85,
85,JACKY [Remix],「バーチャファイター」,135,其他游戏,,false,,,std,expert,11,11.1,譜面-100号,270,26,8,,14,318,,,,,,maimai,85,
85,JACKY [Remix],「バーチャファイター」,135,其他游戏,,false,,,std,master,13+,13.7,ニャイン,298,3,73,,12,386,,,,,,maimai,85,
85,JACKY [Remix],「バーチャファイター」,135,其他游戏,,false,,,std,remaster,14,14,すきやき奉行,424,17,59,,46,546,,,,,,maimai,85,
100,Tell Your World,livetune,150,niconico & VOCALOID,,false,,,std,basic,6,6,-,113,13,8,,4,138,,,,,,maimai PLUS,100,
100,Tell Your World,livetune,150,niconico & VOCALOID,,false,,,std,advanced,7,7.5,-,159,36,17,,13,225,,,,,,maimai PLUS,100,
100,Tell Your World,livetune,150,niconico & VOCALOID,,false,,,std,expert,10,10.5,合作だよ,232,53,47,,3,335,,,,,,maimai PLUS,100,
100,Tell Your World,livetune,150,niconico & VOCALOID,,false,,,std,master,12,12.4,mai-Star,260,79,29,,16,384,,,,,,maimai PLUS,100,
100,Tell Your World,livetune,150,niconico & VOCALOID,,false,,,std,remaster,13,13.2,某S氏,365,35,69,,4,473,,,,,,maimai PLUS,100,
101,おちゃめ機能,ゴジマジP,150,niconico & VOCALOID,,false,,,std,basic,5,5,-,107,7,3,,11,128,,,,,,maimai PLUS,101,
101,おちゃめ機能,ゴジマジP,150,niconico & VOCALOID,,false,,,std,advanced,8,8.1,-,236,20,10,,10,276,,,,,,maimai PLUS,101,
101,おちゃめ機能,ゴジマジP,150,niconico & VOCALOID,,false,,,std,expert,9,9.1,譜面-100号,200,55,13,,9,277,,,,,,maimai PLUS,101,
