id,title,artist,bpm,category,version,releaseDate,isNew,isLocked,sheetCount,dxdata,divingFish,maichart
192,SPiCa,とくP,162,niconico＆ボーカロイド,,,false,false,4,true,false,true
193,セツナトリップ,supercell「化物語」,181,POPS＆アニメ,maimai,,false,false,8,true,true,true
194,放課後ストライド,supercell「化物語」,181,POPS＆アニメ,maimai,,false,false,8,true,true,true
198,カゲロウデイズ,supercell「化物語」,181,POPS＆アニメ,maimai,,false,false,8,true,true,true
199,チルノのパーフェクトさんすう教室,supercell「化物語」,181,POPS＆アニメ,maimai,,false,false,8,true,true,true
200,Bad Apple!! feat.nomico,Masayoshi Minoshima,138,東方Project,,,false,false,5,true,false,true
201,魔理沙は大変なものを盗んでいきました,supercell「化物語」,181,POPS＆アニメ,maimai,,false,false,8,true,true,true
202,Grip & Break down !!,SOUND HOLIC feat. Nana Takahashi,160,東方Project,maimai GreeN,,false,false,8,true,true,true
203,"Help me, ERINNNNNN!!（Band ver.）",ビートまりお(COOL＆CREATE),183,東方Project,,,false,false,4,true,false,true
204,ナイト・オブ・ナイツ,supercell「化物語」,181,POPS＆アニメ,maimai,,false,false,8,true,true,true
205,全人類ノ非想天則,supercell「化物語」,181,POPS＆アニメ,maimai,,false,false,8,true,true,true
206,しゅわスパ大作戦☆,supercell「化物語」,181,POPS＆アニメ,maimai,,false,false,8,true,true,true
207,時空を超えて久しぶり！,supercell「化物語」,181,POPS＆アニメ,maimai,,false,false,8,true,true,true
208,Her Dream Is To Be A Fantastic Sorceress,アミティ(CV 菊池志穂)「ぷよぷよ」,170,ゲーム＆バラエティ,maimai GreeN,,false,false,4,true,true,true
209,ココロスキャンのうた,supercell「化物語」,181,POPS＆アニメ,maimai,,false,false,8,true,true,true
212,神室雪月花,supercell「化物語」,181,POPS＆アニメ,maimai,,false,false,8,true,true,true
213,KONNANじゃないっ！,澤村 遥「龍が如く５ 夢、叶えし者」,155,ゲーム＆バラエティ,maimai GreeN,,false,false,4,true,true,true
214,awake,下田麻美「Shining・Force CROSS ELYSION」,170,ゲーム＆バラエティ,maimai GreeN,,false,false,4,true,true,true
216,Mysterious Destiny,「BAYONETTA(ベヨネッタ)」,140,ゲーム＆バラエティ,maimai GreeN,,false,false,4,true,true,true
217,Riders Of The Light,「BAYONETTA(ベヨネッタ)」,143,ゲーム＆バラエティ,maimai GreeN,,false,false,4,true,true,true
218,Terminal Storm,三草康二郎「CODE OF JOKER」,160,ゲーム＆バラエティ,maimai GreeN,,false,false,4,true,true,true
219,記憶、記録,supercell「化物語」,181,POPS＆アニメ,maimai,,false,false,8,true,true,true
220,セガサターン起動音[H.][Remix],Hiro,148,ゲーム＆バラエティ,maimai GreeN,,false,false,4,true,true,true
223,夜咄ディセイブ,supercell「化物語」,181,POPS＆アニメ,maimai,,false,false,8,true,true,true
224,ウサテイ,supercell「化物語」,181,POPS＆アニメ,maimai,,false,false,8,true,true,true
225,sweet little sister,Silver Forest,168,東方Project,maimai GreeN PLUS,,false,false,8,true,true,true
226,Blew Moon,t+pazolite,180,maimai,maimai GreeN,,false,false,5,true,true,true
227,Garakuta Doll Play,t+pazolite,256,maimai,maimai GreeN,,false,false,5,true,true,true
228,Dreampainter,Sta feat.tigerlily and DOT96,136,maimai,maimai ORANGE,,false,false,4,true,true,true
229,ぐるぐるWASH！コインランドリー・ディスコ,D.watt(IOSYS)feat.ちよこ,132,maimai,maimai GreeN PLUS,,false,false,4,true,true,true
230,CYCLES,Masayoshi Minoshima feat. 綾倉盟,135,maimai,maimai GreeN PLUS,,false,false,4,true,true,true
231,Heartbeats,RAMM feat. 若井友希,170,maimai,maimai GreeN PLUS,,false,false,4,true,true,true
232,Life Feels Good,Cranky,180,maimai,maimai GreeN PLUS,,false,false,4,true,true,true
233,MYTHOS,Cranky feat. まらしぃ ＆ てっぺい先生,158,maimai,maimai GreeN PLUS,,false,false,4,true,true,true
234,End of Twilight,ALiCE'S EMOTiON feat. Ayumi Nomiya,180,maimai,maimai GreeN PLUS,,false,false,4,true,true,true
235,火炎地獄,supercell「化物語」,181,POPS＆アニメ,maimai,,false,false,8,true,true,true
236,ユビキリ,supercell「化物語」,181,POPS＆アニメ,maimai,,false,false,8,true,true,true
237,Pixel Voyage,YMCK,170,maimai,maimai GreeN,,false,false,4,true,true,true
238,Get Happy,Jimmy Weckl,150,maimai,maimai GreeN,,false,false,4,true,true,true
239,System “Z”,Jimmy Weckl,147,maimai,maimai GreeN,,false,false,5,true,true,true
240,Beat of getting entangled,Shoichiro Hirata,140,maimai,maimai GreeN,,false,false,5,true,true,true
241,Cosmic Train,Shoichiro Hirata feat.SUIMI,140,maimai,maimai GreeN,,false,false,4,true,true,true
242,ナミダと流星,supercell「化物語」,181,POPS＆アニメ,maimai,,false,false,8,true,true,true
244,おても☆Yan,光吉猛修,90,maimai,maimai ORANGE,,false,false,4,true,true,true
246,maiム・maiム feat.週刊少年マガジン,にしもと先生、タクマ、どんちゃん「ちょっと盛りました。」,140,maimai,maimai GreeN,,false,false,4,true,true,true
247,Danza zandA,福山光晴,129,maimai,maimai GreeN PLUS,,false,false,5,true,true,true
248,Backyun! －悪い女－,青木千紘/愛海,140,maimai,maimai GreeN,,false,false,5,true,true,true
251,Monochrome Rainbow,Sta,182,maimai,maimai GreeN PLUS,,false,false,8,true,true,true
252,みんなのマイマイマー,supercell「化物語」,181,POPS＆アニメ,maimai,,false,false,8,true,true,true
253,円舞曲、君に,supercell「化物語」,181,POPS＆アニメ,maimai,,false,false,8,true,true,true
254,Live & Learn,Crush 40「ソニックアドベンチャー2」,172,ゲーム＆バラエティ,maimai GreeN PLUS,,false,false,4,true,true,true
255,Burning Hearts ～炎のANGEL～,幡谷尚史 Arranged by SEGA Sound Unit [H.]「バーニングレンジャー」,155,ゲーム＆バラエティ,maimai GreeN,,false,false,5,true,true,true
256,いーあるふぁんくらぶ,supercell「化物語」,181,POPS＆アニメ,maimai,,false,false,8,true,true,true
258,Nyan Cat EX,daniwell,150,niconico＆ボーカロイド,maimai GreeN,,false,false,4,true,true,true
259,ぽっぴっぽー,supercell「化物語」,181,POPS＆アニメ,maimai,,false,false,8,true,true,true
260,LUCIA,SHIKI,154,maimai,maimai GreeN,,false,false,5,true,true,true
261,Death Scythe,SHIKI,182,maimai,maimai GreeN,,false,false,5,true,true,true
262,BREAK YOU!!,A-One,167,maimai,maimai GreeN,,false,false,4,true,true,true
263,JUMPIN' JUMPIN',SOUND HOLIC feat. Nana Takahashi,163,maimai,maimai GreeN,,false,false,4,true,true,true
264,L'épilogue,SOUND HOLIC feat. Nana Takahashi,145,maimai,maimai GreeN,,false,false,4,true,true,true
265,Save This World νMIX,「PHANTASY STAR PORTABLE」,143,ゲーム＆バラエティ,maimai GreeN,,false,false,5,true,true,true
266,Living Universe,「PHANTASY STAR PORTABLE2」,155,ゲーム＆バラエティ,maimai GreeN,,false,false,5,true,true,true
267,Ignite Infinity,「PHANTASY STAR PORTABLE2 ∞」,160,ゲーム＆バラエティ,maimai GreeN,,false,false,4,true,true,true
268,トルコ行進曲 - オワタ＼(^o^)／,オワタP,120,niconico＆ボーカロイド,maimai GreeN,,false,false,4,true,true,true
269,裏表ラバーズ,supercell「化物語」,181,POPS＆アニメ,maimai,,false,false,8,true,true,true
270,Outlaw's Lullaby,「龍が如く２」,145,ゲーム＆バラエティ,maimai GreeN PLUS,,false,false,4,true,true,true
271,Brand-new Japanesque,「龍が如く 見参！」,135,ゲーム＆バラエティ,maimai GreeN PLUS,,false,false,4,true,true,true
274,RPG,SEKAI NO OWARI,135,POPS＆アニメ,,,false,false,4,true,false,true
277,Tachyon,mamenoi (MANYO＆やなぎなぎ),176,POPS＆アニメ,,,false,false,4,true,false,true
278,レッツゴー!陰陽師,supercell「化物語」,181,POPS＆アニメ,maimai,,false,false,8,true,true,true
280,炉心融解,supercell「化物語」,181,POPS＆アニメ,maimai,,false,false,8,true,true,true
281,ダブルラリアット,supercell「化物語」,181,POPS＆アニメ,maimai,,false,false,8,true,true,true
282,からくりピエロ,supercell「化物語」,181,POPS＆アニメ,maimai,,false,false,8,true,true,true
283,ネトゲ廃人シュプレヒコール,supercell「化物語」,181,POPS＆アニメ,maimai,,false,false,8,true,true,true
284,むかしむかしのきょうのぼく,supercell「化物語」,181,POPS＆アニメ,maimai,,false,false,8,true,true,true
285,magician's operation,EZFG,125,niconico＆ボーカロイド,maimai GreeN PLUS,,false,false,4,true,true,true
288,六兆年と一夜物語,supercell「化物語」,181,POPS＆アニメ,maimai,,false,false,8,true,true,true
289,みくみくにしてあげる♪【してやんよ】,supercell「化物語」,181,POPS＆アニメ,maimai,,false,false,8,true,true,true
290,リリリリ★バーニングナイト,supercell「化物語」,181,POPS＆アニメ,maimai,,false,false,8,true,true,true
291,ハロ／ハワユ,supercell「化物語」,181,POPS＆アニメ,maimai,,false,false,8,true,true,true
293,Our Fighting,クーナ(CV 喜多村英梨)「PHANTASY STAR ONLINE 2」,165,ゲーム＆バラエティ,,,false,false,4,true,false,true
295,緋色のDance,岸田教団＆THE明星ロケッツ,155,東方Project,maimai ORANGE,,false,false,5,true,true,true
296,明星ロケット,supercell「化物語」,181,POPS＆アニメ,maimai,,false,false,8,true,true,true
297,The Great Journey,光吉猛修「ホルカ・トルカ」,135,ゲーム＆バラエティ,maimai ORANGE,,false,false,4,true,true,true
298,お嫁にしなさいっ！,supercell「化物語」,181,POPS＆アニメ,maimai,,false,false,8,true,true,true
299,ロストワンの号哭,supercell「化物語」,181,POPS＆アニメ,maimai,,false,false,8,true,true,true
300,Sweet Devil,八王子P,132,niconico＆ボーカロイド,,,false,false,4,true,false,true
301,患部で止まってすぐ溶ける～狂気の優曇華院,supercell「化物語」,181,POPS＆アニメ,maimai,,false,false,8,true,true,true
302,ケロ⑨destiny,Silver Forest,172,東方Project,maimai ORANGE PLUS,,false,false,8,true,true,true
303,"Endless, Sleepless Night",samfree feat.(V)・∀・(V)かにぱん。(A-ONE),165,東方Project,maimai GreeN PLUS,,false,false,8,true,true,true
305,POP STAR,平井堅 [cover],140,POPS＆アニメ,maimai GreeN PLUS,,false,false,4,true,true,true
308,Back 2 Back,長沼英樹「ソニック ラッシュ」,150,ゲーム＆バラエティ,maimai GreeN PLUS,,false,false,4,true,true,true
309,神々の祈り,supercell「化物語」,181,POPS＆アニメ,maimai,,false,false,8,true,true,true
310,エピクロスの虹はもう見えない,supercell「化物語」,181,POPS＆アニメ,maimai,,false,false,8,true,true,true
311,シアワセうさぎ,supercell「化物語」,181,POPS＆アニメ,maimai,,false,false,8,true,true,true
